Ticker,Date,Actual,Estimate
IQV US,2019-05-01,1.53,1.506
XLNX US,2019-04-24,0.95,0.935
CPRI US,2019-05-29,0.63,0.62
ALLE US,2019-04-25,0.88,0.866
ARE US,2019-04-29,1.71,1.682
PLD US,2019-04-16,0.73,0.718
WYNN US,2019-05-09,1.61,1.583
AVY US,2019-04-24,1.48,1.455
ED US,2019-05-02,1.39,1.364
DRI US,2019-06-20,1.76,1.727
BBT US,2019-04-18,1.05,1.03
STI US,2019-04-18,1.33,1.304
FANG US,2019-05-07,1.39,1.362
PEAK US,2019-05-01,0.44,0.431
EXR US,2019-04-30,1.16,1.136
ALL US,2019-05-01,2.3,2.252
DIS US,2019-05-08,1.61,1.576
FISV US,2019-04-30,0.84,0.822
TPR US,2019-05-09,0.42,0.411
LLY US,2019-04-30,1.33,1.301
SYK US,2019-04-23,1.88,1.839
INTC US,2019-04-25,0.89,0.87
LYB US,2019-04-26,2.22,2.17
EMR US,2019-05-07,0.86,0.84
WM US,2019-04-25,0.94,0.918
ROST US,2019-05-23,1.15,1.123
HOLX US,2019-05-01,0.58,0.566
ACN US,2019-06-27,1.93,1.882
GOOGL US,2019-04-29,10.81,10.541
ICE US,2019-05-02,0.92,0.897
AMGN US,2019-04-30,3.56,3.469
DGX US,2019-04-23,1.4,1.364
WBA US,2019-06-27,1.47,1.432
HRL US,2019-05-23,0.46,0.448
ADBE US,2019-06-18,1.83,1.782
PG US,2019-04-23,1.06,1.032
APD US,2019-04-24,1.92,1.869
INTU US,2019-05-23,5.55,5.401
AAL US,2019-04-26,0.52,0.506
ABT US,2019-04-17,0.63,0.613
FRC US,2019-04-12,1.26,1.226
SWKS US,2019-05-02,1.47,1.43
DRE US,2019-04-24,0.33,0.321
UNP US,2019-04-18,1.93,1.877
VZ US,2019-04-23,1.2,1.167
KMI US,2019-04-17,0.25,0.243
TMO US,2019-04-24,2.81,2.73
LNT US,2019-05-02,0.53,0.514
HAL US,2019-04-22,0.23,0.223
PNC US,2019-04-12,2.69,2.608
JNJ US,2019-04-16,2.1,2.035
MHK US,2019-04-25,2.13,2.064
AME US,2019-05-01,1,0.969
AZO US,2019-05-21,15.99,15.488
ANTM US,2019-04-24,6.03,5.84
AMP US,2019-04-24,3.75,3.631
CAT US,2019-04-24,2.94,2.846
DUK US,2019-05-09,1.28,1.239
SEE US,2019-05-01,0.59,0.571
TRV US,2019-04-18,2.83,2.738
LH US,2019-04-30,2.62,2.534
GRMN US,2019-05-01,0.73,0.706
GL US,2019-04-17,1.64,1.586
SBAC US,2019-04-29,1.72,1.663
VTR US,2019-04-26,0.99,0.956
GPN US,2019-05-02,1.34,1.293
UNH US,2019-04-16,3.73,3.599
MYL US,2019-05-07,0.82,0.791
KO US,2019-04-23,0.48,0.463
HRB US,2019-06-11,4.32,4.166
HPQ US,2019-05-23,0.53,0.511
CNC US,2019-04-23,1.39,1.34
MOS US,2019-05-06,0.25,0.241
BXP US,2019-04-30,1.72,1.658
AAP US,2019-05-22,2.46,2.371
SNA US,2019-04-18,3.01,2.901
STT US,2019-04-23,1.24,1.195
AAPL US,2019-04-30,2.46,2.368
ABBV US,2019-04-25,2.14,2.059
C US,2019-04-15,1.87,1.798
HD US,2019-05-21,2.27,2.182
FDX US,2019-06-25,5.01,4.813
NTRS US,2019-04-23,1.53,1.469
CI US,2019-05-02,3.9,3.744
VFC US,2019-05-22,0.6,0.576
TJX US,2019-05-21,0.57,0.547
PKI US,2019-04-25,0.69,0.662
CFG US,2019-04-18,0.93,0.892
APTV US,2019-05-02,1.05,1.007
HUM US,2019-05-01,4.48,4.29
IFF US,2019-05-06,1.57,1.502
RMD US,2019-05-02,0.89,0.851
ADI US,2019-05-22,1.36,1.3
DTE US,2019-04-24,2.05,1.959
MMC US,2019-04-25,1.52,1.452
MAA US,2019-05-01,1.58,1.509
HON US,2019-04-18,1.92,1.833
VRSN US,2019-04-25,1.31,1.25
DXC US,2019-05-23,2.19,2.088
NDAQ US,2019-04-24,1.22,1.163
SCHW US,2019-04-15,0.69,0.657
ADP US,2019-05-01,1.77,1.685
LVS US,2019-04-17,0.91,0.866
HLT US,2019-05-01,0.8,0.761
PH US,2019-05-02,3.17,3.015
IEX US,2019-04-25,1.44,1.369
MDT US,2019-05-23,1.54,1.464
LNC US,2019-05-01,2.14,2.034
AMAT US,2019-05-16,0.7,0.665
DHR US,2019-04-18,1.07,1.016
TFX US,2019-05-02,2.24,2.126
HSIC US,2019-05-07,0.8,0.759
MAR US,2019-05-10,1.41,1.337
V US,2019-04-24,1.31,1.241
JCI US,2019-05-01,0.32,0.303
COTY US,2019-05-08,0.13,0.123
TTWO US,2019-05-13,0.78,0.738
CHD US,2019-05-02,0.7,0.661
BWA US,2019-04-25,1,0.944
SNPS US,2019-05-22,1.16,1.095
MCHP US,2019-05-07,1.48,1.397
WEC US,2019-04-25,1.33,1.255
FMC US,2019-05-06,1.72,1.623
GD US,2019-04-24,2.56,2.415
ES US,2019-05-01,0.97,0.914
PEP US,2019-04-17,0.97,0.914
MDLZ US,2019-04-30,0.65,0.612
IVZ US,2019-04-25,0.56,0.527
CPRT US,2019-05-22,0.66,0.621
HBI US,2019-05-02,0.27,0.254
COO US,2019-05-30,2.94,2.764
TSN US,2019-05-06,1.2,1.128
TDG US,2019-05-07,4.21,3.956
KIM US,2019-05-02,0.38,0.357
NI US,2019-05-01,0.82,0.77
ULTA US,2019-05-30,3.26,3.06
K US,2019-05-02,1.01,0.948
SBUX US,2019-04-25,0.6,0.563
DFS US,2019-04-25,2.15,2.017
TGT US,2019-05-22,1.53,1.435
DG US,2019-05-30,1.48,1.388
SJM US,2019-06-06,2.08,1.95
AGN US,2019-05-07,3.79,3.553
CVX US,2019-04-26,1.39,1.303
EBAY US,2019-04-23,0.67,0.628
AFL US,2019-04-25,1.13,1.059
BR US,2019-05-07,1.59,1.49
DAL US,2019-04-10,0.96,0.898
MCO US,2019-04-24,2.07,1.934
AEP US,2019-04-25,1.19,1.111
CCL US,2019-06-20,0.66,0.616
KMX US,2019-06-21,1.59,1.484
COF US,2019-04-25,2.9,2.706
CVS US,2019-05-01,1.62,1.511
KSU US,2019-04-17,1.54,1.436
FITB US,2019-04-23,0.63,0.587
STZ US,2019-04-04,1.84,1.714
NEE US,2019-04-23,2.2,2.047
MA US,2019-04-30,1.78,1.656
MKC US,2019-06-27,1.16,1.078
LIN US,2019-05-10,1.69,1.57
