Date,Open,High,Low,Close,Adj Close,Volume
2019-05-08,1918.869995,1935.369995,1910.000000,1917.770020,1917.770020,4078600
2019-05-09,1900.000000,1909.400024,1876.000000,1899.869995,1899.869995,5308300
2019-05-10,1898.000000,1903.790039,1856.000000,1889.979980,1889.979980,5718000
2019-05-13,1836.560059,1846.540039,1818.000000,1822.680054,1822.680054,5783400
2019-05-14,1839.500000,1852.439941,1815.750000,1840.119995,1840.119995,4629100
2019-05-15,1827.949951,1874.430054,1823.000000,1871.150024,1871.150024,4692600
2019-05-16,1885.939941,1917.510010,1882.290039,1907.569946,1907.569946,4707800
2019-05-17,1893.050049,1910.530029,1867.329956,1869.000000,1869.000000,4736600
2019-05-20,1852.689941,1867.780029,1835.540039,1858.969971,1858.969971,3798200
2019-05-21,1874.790039,1879.000000,1846.000000,1857.520020,1857.520020,4005100
2019-05-22,1851.780029,1871.489990,1851.000000,1859.680054,1859.680054,2936600
2019-05-23,1836.589966,1844.000000,1804.199951,1815.479980,1815.479980,4424300
2019-05-24,1835.890015,1841.760010,1817.849976,1823.280029,1823.280029,3369700
2019-05-28,1832.750000,1849.270020,1827.349976,1836.430054,1836.430054,3200000
2019-05-29,1823.119995,1830.000000,1807.530029,1819.189941,1819.189941,4279000
2019-05-30,1825.489990,1829.469971,1807.829956,1816.319946,1816.319946,3146900
Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,112.889999,113.019997,111.669998,112.529999,111.363945,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,111.096748,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,110.542549,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,110.592033,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,109.246124,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,109.364876,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,111.660843,26491600
2019-03-12,112.820000,113.989998,112.650002,113.620003,112.442657,26132700
2019-03-13,114.129997,115.000000,113.779999,114.500000,113.313545,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,113.402603,30763400
2019-03-15,115.339996,117.250000,114.589996,115.910004,114.708931,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,116.351723,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,116.430893,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,116.302231,28113300
2019-03-21,117.139999,120.820000,117.089996,120.220001,118.974266,29854400
2019-03-22,119.500000,119.589996,117.040001,117.050003,115.837112,33624500
2019-03-25,116.559998,118.010002,116.320000,117.660004,116.440796,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,116.688202,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,115.560013,22733400
2019-03-28,117.440002,117.580002,116.129997,116.930000,115.718361,18334800
2019-03-29,118.070000,118.320000,116.959999,117.940002,116.717896,25399800
2019-04-01,118.949997,119.110001,118.099998,119.019997,117.786697,22789100
2019-04-02,119.059998,119.480003,118.519997,119.190002,117.954941,18142300
2019-04-03,119.860001,120.430000,119.150002,119.970001,118.726852,22860700
2019-04-04,120.099998,120.230003,118.379997,119.360001,118.123177,20112800
2019-04-05,119.389999,120.230003,119.370003,119.889999,118.647690,15826200
2019-04-08,119.809998,120.019997,118.639999,119.930000,118.687271,15116200
2019-04-09,118.629997,119.540001,118.580002,119.279999,118.043999,17612000
2019-04-10,119.760002,120.349998,119.540001,120.190002,118.944572,16477200
2019-04-11,120.540001,120.849998,119.919998,120.330002,119.083122,14209100
2019-04-12,120.639999,120.980003,120.370003,120.949997,119.696701,19745100
2019-04-15,120.940002,121.580002,120.570000,121.050003,119.795670,15792600
2019-04-16,121.639999,121.650002,120.099998,120.769997,119.518562,14071800
2019-04-17,121.239998,121.849998,120.540001,121.769997,120.508202,19300900
2019-04-18,122.190002,123.519997,121.300003,123.370003,122.091629,27991000
2019-04-22,122.620003,124.000000,122.570000,123.760002,122.477585,15648700
